a,b,c,TType
2,1(LBound),2,ISO
50,1(LBound),2,NOT
99,1(LBound),2,NOT
100(UBound),1(LBound),2,NOT
50,50,2,ISO
50,2,2,NOT
50,100(UBound),2,NOT
50,99,2,NOT
99,100(UBound),2,SCA
2,100(UBound),2,NOT
100(UBound),100(UBound),2,ISO
2,99,2,NOT
2,2,2,EQUI
2,50,2,NOT
100(UBound),2,2,NOT
99,2,2,NOT
100(UBound),50,2,NOT
100(UBound),99,2,SCA
99,50,2,NOT
99,99,2,ISO
99,50,50,ISO
99,50,99,ISO
99,50,100(UBound),SCA
99,50,1(LBound),NOT
99,99,50,ISO
99,99,100(UBound),ISO
99,99,99,EQUI
99,99,1(LBound),ISO
50,99,50,ISO
50,99,100(UBound),SCA
50,99,99,ISO
50,99,1(LBound),NOT
2,99,50,NOT
2,99,100(UBound),SCA
2,99,99,ISO
2,99,1(LBound),NOT
2,50,50,ISO
2,50,100(UBound),NOT
2,50,99,NOT
2,50,1(LBound),NOT
50,50,50,EQUI
50,50,100(UBound),NOT
50,50,99,ISO
50,50,1(LBound),ISO
50,1(LBound),50,ISO
50,1(LBound),100(UBound),NOT
50,1(LBound),99,NOT
50,1(LBound),1(LBound),NOT
2,1(LBound),50,NOT
99,1(LBound),50,NOT
2,1(LBound),1(LBound),NOT
2,1(LBound),99,NOT
2,1(LBound),100(UBound),NOT
99,1(LBound),99,ISO
99,1(LBound),1(LBound),NOT
99,1(LBound),100(UBound),NOT
99,100(UBound),100(UBound),ISO
99,100(UBound),99,ISO
99,100(UBound),1(LBound),NOT
50,100(UBound),99,SCA
2,100(UBound),99,SCA
50,100(UBound),1(LBound),NOT
50,100(UBound),100(UBound),ISO
2,100(UBound),1(LBound),NOT
2,100(UBound),100(UBound),ISO
2,100(UBound),50,NOT
99,100(UBound),50,SCA
50,100(UBound),50,NOT
100(UBound),50,1(LBound),NOT
100(UBound),99,1(LBound),NOT
100(UBound),1(LBound),1(LBound),NOT
100(UBound),100(UBound),1(LBound),ISO
100(UBound),50,100(UBound),ISO
100(UBound),99,100(UBound),ISO
100(UBound),1(LBound),100(UBound),ISO
100(UBound),100(UBound),100(UBound),EQUI
100(UBound),50,99,SCA
100(UBound),99,99,ISO
100(UBound),1(LBound),99,NOT
100(UBound),100(UBound),99,ISO
100(UBound),50,50,NOT
100(UBound),99,50,SCA
100(UBound),1(LBound),50,NOT
100(UBound),100(UBound),50,ISO
2,2,1(LBound),ISO
99,2,1(LBound),NOT
50,2,1(LBound),NOT
2,2,100(UBound),NOT
99,2,100(UBound),SCA
50,2,100(UBound),NOT
2,2,50,NOT
2,2,99,NOT
99,2,50,NOT
50,2,50,ISO
99,2,99,ISO
50,2,99,NOT
100(UBound),2,99,SCA
100(UBound),2,1(LBound),NOT
100(UBound),2,100(UBound),ISO
100(UBound),2,50,NOT
1(LBound),50,99,NOT
1(LBound),99,99,ISO
1(LBound),1(LBound),99,NOT
1(LBound),100(UBound),99,NOT
1(LBound),50,1(LBound),NOT
1(LBound),99,1(LBound),NOT
1(LBound),1(LBound),1(LBound),EQUI
1(LBound),100(UBound),1(LBound),NOT
1(LBound),50,100(UBound),NOT
1(LBound),99,100(UBound),NOT
1(LBound),1(LBound),100(UBound),NOT
1(LBound),100(UBound),100(UBound),ISO
1(LBound),50,2,NOT
1(LBound),99,2,NOT
1(LBound),1(LBound),2,NOT
1(LBound),50,50,ISO
1(LBound),99,50,NOT
1(LBound),1(LBound),50,NOT
1(LBound),100(UBound),50,NOT
1(LBound),100(UBound),2,NOT
1(LBound),2,50,NOT
1(LBound),2,99,NOT
1(LBound),2,1(LBound),NOT
1(LBound),2,100(UBound),NOT
1(LBound),2,2,ISO
-962,0,-963,INVALID
-965,-966,-964,INVALID
-967,-966,-965,INVALID
-968,-967,-966,INVALID
-969,-968,-967,INVALID
102,101,102,INVALID
