a,b,c,TType
1(LBound),719,238,NOT
2,1(LBound),1(LBound),NOT
1(LBound),2,2,ISO
1(LBound),1(LBound),1(LBound),EQUI
1073741824,1(LBound),1(LBound),NOT
1073741824,3,1(LBound),NOT
1073741824,2,1(LBound),NOT
1(LBound),2,1(LBound),NOT
2147483646,2147483646,2147483646,EQUI
2147483647(UBound),2147483646,2147483647(UBound),ISO
1073741824,2147483647(UBound),1(LBound),NOT
2147483647(UBound),2147483646,2147483646,ISO
1(LBound),1073741824,1(LBound),NOT
2,2,1(LBound),ISO
1(LBound),2,1073741824,NOT
1(LBound),1(LBound),2,NOT
1073741823,2,1073741824,SCA
1(LBound),1(LBound),1073741824,NOT
1073741107,718,1073741824,SCA
2,1(LBound),2,ISO
3,1073741824,1(LBound),NOT
2,1(LBound),1073741824,NOT
1(LBound),1073741824,1073741824,ISO
1073741825,1(LBound),1073741824,NOT
1073741826,1(LBound),1073741824,NOT
2,2,1073741824,NOT
2,2,2,EQUI
2,3,1073741824,NOT
2,1073741824,3,NOT
1073741824,2,2,NOT
1(LBound),4,1073741824,NOT
1073741824,3,2,NOT
1073741824,3,1073741822,SCA
1073741824,1(LBound),2,NOT
1073741824,2147483647(UBound),2,NOT
1073741824,1(LBound),3,NOT
2,1073741824,1(LBound),NOT
1073741824,1(LBound),4,NOT
1073741824,1073741824,3,ISO
1073741824,1(LBound),2147483647(UBound),NOT
1073741823,1073741824,3,SCA
1073741824,4,1(LBound),NOT
1073741824,3,3,NOT
1073741824,1(LBound),5,NOT
3,1073741824,4,NOT
2147483647(UBound),2147483647(UBound),2147483647(UBound),EQUI
1(LBound),1073741824,3,NOT
1073741824,5,3,NOT
1073741824,2,3,NOT
1073741824,1073741824,1073741824,EQUI
1073741824,4,2,NOT
1073741824,4,3,NOT
1073741824,4,4,NOT
1073741824,3,4,NOT
1073741824,2147483647(UBound),3,NOT
1073741824,2,4,NOT
1073741828,4,1073741824,NOT
1073741826,1073741824,2,NOT
1073741825,4,1073741824,SCA
1073741824,1(LBound),1073741825,NOT
1073741826,4,1073741824,SCA
1073741820,4,1073741824,NOT
1(LBound),1073741824,1073741826,NOT
1(LBound),3,1073741824,NOT
1073741819,4,1073741824,NOT
3,4,1073741824,NOT
1(LBound),2147483647(UBound),1073741824,NOT
4,5,1073741824,NOT
1073741818,4,1073741824,NOT
3,3,1073741824,NOT
3,5,1073741824,NOT
4,3,1073741824,NOT
1(LBound),1073741824,1073741823,NOT
1(LBound),1073741824,5,NOT
536870913,1073741824,536870913,ISO
1(LBound),1073741824,563,NOT
536870914,1073741824,1(LBound),NOT
3,1073741824,6,NOT
3,1073741824,1073741822,SCA
3,1073741824,7,NOT
3,1073741824,5,NOT
3,1073741824,8,NOT
1073741824,2,5,NOT
3,1073741824,3,NOT
4,1073741824,3,NOT
1(LBound),1073741824,4,NOT
4,1073741824,5,NOT
1073741824,536870914,536870914,ISO
1073741824,1(LBound),6,NOT
1073741824,5,6,NOT
1073741824,6,5,NOT
6,1073741824,5,NOT
5,6,1073741824,NOT
6,5,1073741824,NOT
7,5,1073741824,NOT
4,4,1073741824,NOT
3,1073741824,536870912,NOT
3,1073741824,536870911,NOT
4,1073741824,7,NOT
4,1073741824,8,NOT
-962,-1,0,INVALID
-962,-2,-1,INVALID
-959,-667,-666,INVALID
2147483648,4294967297,2147483649,INVALID
-952,-668,-667,INVALID
-949,-669,-668,INVALID
